,**Before**,**Propensity Score Mat**,**ching**,**After P**,**ropensity Score Mat**,**ching**
,"**SGLT2i**
**(n**= **7,334)**","**Metformin**
**(n**= **11,338)**",**Std Diff. (%)**,"**SGLT2i**
**(n**= **3,072)**","**Metformin**
**(n**= **3,072)**",**Std Diff. (%)**
Demographics,,,,,,
"Age (y), mean± SD",54.2± 11.2,50.9± 11.3,29,52.8± 10.8,53.0± 11.1,1.7
"White, n (%)","3,694 (50.4%)","6,174 (54.5%)",8.2,"1,526 (49.7%)","1,517 (49.4%)",0.6
"Black or African American, n (%)",1851 (25.2%),"2,462 (21.7%)",8.3,667 (21.7%),674 (21.9%),0.6
"Asian, n (%)",660 (9%),"1,007 (8.9%)",0.4,325 (10.6%),341 (11.1%),1.7
"Hispanic or Latino, n (%)",799 (10.9%),"1,388 (12.2%)",4.2,381 (12.4%),353 (11.5%),2.8
"Socioeconomic and psychosocial circumstances, n (%)",462 (6.3%),408 (3.6%),12.5,157 (5.1%),145 (4.7%),1.8
Risk factors,,,,,,
"Hypertension, n (%)","5,369 (73.2%)","6,779 (59.8%)",28.7,2083 (67.8%),2084 (67.8%),0.1
"Smoker, n (%)","1,050 (14.3%)","1,253 (11.1%)",9.8,362 (11.8%),339 (11%),2.4
"Overweight or obesity, n (%)","4,056 (55.3%)","5,402 (47.6%)",15.4,"1,564 (50.9%)","1,511 (49.2%)",3.5
"Dyslipidemia, n (%)","5,332 (72.7%)","5,947 (52.5%)",42.8,2058 (67%),2043 (66.5%),1
"Alcohol-related diagnoses, n (%)",87 (1.2%),145 (1.3%),0.8,37 (1.2%),44 (1.4%),2
Cardiovascular comorbidities,,,,,,
"Heart failure, n (%)","1,182 (16.1%)",412 (3.6%),42.8,244 (7.9%),236 (7.7%),1
"Coronary artery disease, n (%)","1,312 (17.9%)",794 (7%),33.4,340 (11.1%),337 (11%),0.3
"Myocardial infarction, n (%)",355 (4.8%),158 (1.4%),19.9,75 (2.4%),70 (2.3%),1.1
"Ischemic stroke, n (%)",334 (4.6%),300 (2.6%),10.3,115 (3.7%),116 (3.8%),0.2
"Intracranial hemorrhage, n (%)",30 (0.4%),18 (0.2%),4.7,10 (0.3%),10 (0.3%),0
"Atrial fibrillation or flutter, n (%)",486 (6.6%),295 (2.6%),19.3,116 (3.8%),109 (3.5%),1.2
Noncardiovascular comorbidities,,,,,,
"Kidney disease, n (%)","1,520 (20.7%)",826 (7.3%),39.5,382 (12.4%),392 (12.8%),1
"COPD, n (%)",558 (7.6%),482 (4.3%),14.3,169 (5.5%),167 (5.4%),0.3
"Sleep apnea syndrome, n (%)",1944 (26.5%),1961 (17.3%),22.4,658 (21.4%),676 (22%),1.4
"Peripheral vascular disease, n (%)",322 (4.4%),188 (1.7%),16,70 (2.3%),61 (2%),2
"Previous cancer, n (%)","3,554 (48.5%)","5,281 (46.6%)",3.8,"1,473 (47.9%)","1,506 (49%)",2.1
"Cognitive impairment, n (%)",10 (0.1%),10 (0.1%),1.4,10 (0.3%),10 (0.3%),0
